"Catalog                                 Class     Class       Facility       Facility    Enrollment Number  Seat    Wait  Undup
Number      Course Title                Section   No          Description    Capacity    Capacity   Enroll  Rem     List  Wait List Status    Instructor",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040,INTRO,PROB SOLVE & PROGR,,,,,,,,,,01,,57780,STRICK 210,,113,113,0,,113,0,"Jiang, J",,,,,
,,,,,,,,,,,,02,,58522,INTERNET,,0,250,0,,250,0,"Jiang, J",,,,,
,TOTAL,-,,LST,,,,,,,,,,,,,,363,0,,363,0,0,,,,,
1610,INTRO,DIG,,MEDIA,,,,DES,,,,01,,58519,LAF C1206,,48,48,0,,48,0,,,,,,
,,,,,,,,,,,,02,,58520,INTERNET,,0,200,0,,200,0,"Gubera, C",,,,,
,TOTAL,-,,LST,,,,,,,,,,,,,,248,0,,248,0,0,,,,,
2040,PROG LANG,,,& PARA,,,,01,,,,,,58918,STRICK 114,,73,73,0,,73,0,,,"Culmer, K",,,
,TOTAL -,,,LST,,,,,,,,,,,,,,73,0,,73,0,0,,,,,
2630,GAME THEORY & DESIGN,,,,,,,,,,,01,,58805,INTERNET,,0,200,0,,200,0,,,"Tompkins,",,M,
,TOTAL -   LST,,,,,,,,,,,,,,,,,200,0,,200,0,0,,,,,
2810,FUND OF NETWORK TECHNLGY,,,,,,,,,,,02,,58734,LAF C1206,,48,48,0,,48,0,,,"Wang, F",,,
,TOTAL -   LST,,,,,,,,,,,,,,,,,48,0,,48,0,0,,,,,
2830,WEB APPLICATION DEVELOPMENT,,,,,,,,,,,012,,58736,INTERNET,,0,200,0,,200,0,,,"Murrell, S",,,
,TOTAL -   LST,,,,,,,,,,,,,,,,,200,0,,200,0,0,,,,,
2910,CYBER SECURITY,,,,,,,,,,,01,,58898,INTERNET,,0,50,0,,50,0,,,"Jiang, J",,,
,TOTAL -   LST,,,,,,,,,,,,,,,,,50,0,,50,0,0,,,,,
3330,OBJECT ORIENTED PROGRAM,,,,,,,,,,,01,,58806,A&S 1,,86,20,0,,20,0,,,"Ufuktepe,",,E,
,TOTAL -   LST,,,,,,,,,,,,,,,,,20,0,,20,0,0,,,,,
3380,DATABASE SYSTEM,,,,,,,,,,,01,,58807,A&S 1,,86,86,0,,86,0,,,"Culmer, K",,,
"Catalog                                 Class     Class       Facility       Facility    Enrollment Number  Seat    Wait  Undup
Number      Course Title                Section   No          Description    Capacity    Capacity   Enroll  Rem     List  Wait List Status    Instructor",,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL -,,,LST,,,,86,,,,,,,,,,,,0,,86,0,0,,,,,
3530,UNIX OPERATING,,,,,,SYSTEM,,,01,,,,58867,SWALLW 101,,109,50,0,,50,0,,,"Murrell, S",,,
,,,,,,,,,,02,,,,59007,INTERNET,,0,50,0,,50,0,,,"Murrell, S",,,
,TOTAL -   LST,,,,,,,,,,,,,,,,,100,0,,100,0,0,,,,,
3600,USER EXP DES 1,,,,,,,,,01,,,,63684,INTERNET,,0,200,0,,200,0,,,"Musser, D",,,
,TOTAL -   LST,,,,,,,,,,,,,,,,,200,0,,200,0,0,,,,,
3620,COMP MODEL & ANIMATION,,,,,,,,,2,,01,,63675,LAF,W0010,20,20,0,,20,0,"Tompkins,",,,,M,
TOTAL,,-   LST,,,,,20,,,,,,,,,,,,0,,20,0,0,,,,,
"3630        INTRO TO VR                 01        58808       LAF C1206        48          40          0      40       0                      Wang, F",,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,-   LST,,,,,,,,,,,,,,,,40,0,,40,0,0,,,,,
,,,,,,,,,01A,,,,,58809,LAF,W0010,20,20,0,,20,0,,,"Wang, F",,,
,,,,,,,,,01B,,,,,58810,LAF,W0010,20,20,0,,20,0,,,"Wang, F",,,
TOTAL,,-   LAB,,,,,,,,,,,,,,,,40,0,,40,0,0,,,,,
